,file,Genotype,channel,params,slope,threshold,y_min,y_max,range,sigma,r_squared,gain,Subject,group
323,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,12,[52.03954186 18.66247841 16.26702668 11.54737562],1.9389692202054218,18.66247841325022,11.547375615839043,63.58691747446003,5.506612029424294,16.267026677629293,0.6346952043671095,52.039541858620986,7,7_12_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
324,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,13,[35.43643781 16.38040315 14.59648976 13.55140708],1.4724084557826698,16.38040315125825,13.551407082414125,48.98784489359943,3.6149637152566787,14.596489755355556,0.5747052422348302,35.43643781118531,7,7_13_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
326,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,15,[40.58471991 18.53825174 18.6673406  11.42603054],1.3004874045208226,18.538251737722423,11.426030538435112,52.01075044576735,4.551952690027612,18.667340601924643,0.6720817119715917,40.584719907332236,7,7_15_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
327,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3,WT,16,[40.06876021 18.35717457 18.81213867 13.1088805 ],1.268541190313499,18.357174571325114,13.108880499727103,53.177640714042255,4.056611906344656,18.812138668080337,0.5901483189740269,40.06876021431515,7,7_16_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409C/Block-3
328,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,WT,2,[30.86751295 15.85796535 22.285429   14.63474715],0.7070770958961247,15.857965353278004,14.634747146639617,45.50226009985076,3.109193458822337,22.28542900157411,0.5001260837069823,30.86751295321114,7,7_2_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3
329,/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3,WT,3,[36.52367075  7.48418942  3.8442698  25.95516218],4.416290001429957,7.484189421069282,25.955162176954573,62.47883292338126,2.4071832993151485,3.844269804910502,0.7600453860862348,36.52367074642669,7,7_3_/media/dawg/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180409E/Block-3
391,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,1,[38.79012833  6.61978791  6.59368271  4.89408699],3.3584621810689437,6.6197879143437435,4.894086991188419,43.68421532137287,8.925917213981752,6.5936827113387455,0.9333245542537995,38.79012833018445,9,9_1_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
392,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,2,[38.31101834  8.16340112  8.21219775 10.00237998],2.702983087132793,8.163401120486926,10.002379981170652,48.31339832390479,4.830190256204436,8.212197754949937,0.9244540942705587,38.311018342734144,9,9_2_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
393,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,3,[33.47567499  6.23105814  5.25893538  4.5350159 ],3.8188124884541703,6.231058144935476,4.5350159020792695,38.01069088934611,8.381600353797769,5.258935381414461,0.9571517026531385,33.47567498726684,9,9_3_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
394,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,4,[39.7000774  10.54375753  6.52691724  4.15453065],3.27249640381666,10.54375753131903,4.1545306489034095,43.85460804443612,10.555851370602252,6.5269172412780225,0.8524050021681703,39.70007739553271,9,9_4_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
395,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,5,[50.71483847  9.18497767  6.55035109  6.68449564],4.593855614842823,9.184977671298354,6.684495639613803,57.39933410512699,8.586935679180613,6.550351091700301,0.9436377877658872,50.71483846551319,9,9_5_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
396,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,6,[13.17295941  5.01945347  3.92132767  8.34382439],2.0208128788112845,5.0194534714952574,8.343824388465421,21.516783793631426,2.578767576098129,3.9213276657825755,0.8428629782584087,13.172959405166004,9,9_6_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
397,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,7,[36.05701782  9.33720078  4.02952217  5.38044203],2.232554115089158,9.337200779189944,5.38044203077835,41.437459851906006,7.701497314693965,4.029522172670186,0.8773093951317836,36.05701782112766,9,9_7_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
398,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,10,[31.37649301 10.87406134  6.0814866   4.66389714],2.473904929622961,10.87406134007813,4.663897139548587,36.04039014693867,7.727526801851161,6.081486600317262,0.8402720138876958,31.37649300739008,9,9_10_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
399,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,11,[20.77434972  5.5492553   4.45644087  6.53648491],2.8016244826289944,5.549255300613109,6.5364849089952655,27.310834625463585,4.178214285766871,4.456440871196435,0.9124019214784153,20.77434971646832,9,9_11_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
400,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,12,[53.41561687  9.2269402   5.46868814  6.12719248],5.1359406494810855,9.226940199191406,6.127192476784112,59.54280935034269,9.717796458320832,5.468688136676416,0.945089180442156,53.41561687355858,9,9_12_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
401,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,13,[33.26357523 10.56341702  6.18989352  5.51469673],2.7408354126734475,10.563417022053926,5.514696731891441,38.778271963247896,7.031804983761574,6.189893522695468,0.8671206976396759,33.263575231356455,9,9_13_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
402,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,14,[41.14020191  5.93297643  6.71159548  4.51069853],3.2229669290728675,5.932976433162112,4.510698525567692,45.65090044004603,10.120583360046359,6.711595484603131,0.9487677869655174,41.14020191447834,9,9_14_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
403,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,15,[39.48158115  8.89767578  8.17007321 13.33125375],2.8931890664551925,8.897675783745271,13.331253748768765,52.812834894687455,3.9615805002260265,8.170073207268045,0.9268109463361057,39.48158114591869,9,9_15_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
404,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3,WT,16,[41.28919256  3.87968266  9.61774544  7.13222782],0.9727097662448613,3.879682662059623,7.132227822728522,48.421420385156836,6.789101748944501,9.617745439544274,0.9374510280254147,41.28919256242831,9,9_16_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507B/Block-3
405,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,1,[484.84166203 -30.71755247  14.33226818   5.749965  ],6.4684955738414365,-30.71755247291671,5.749965003539949,490.5916270301146,85.32080225324559,14.332268176007089,0.9816321995809361,484.8416620265746,9,9_1_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
406,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,3,[ 69.49910101 -11.24395917  11.74581537   8.52564301],3.566150179068472,-11.243959172363834,8.52564300900745,78.02474401564884,9.151772357019254,11.745815371629257,0.9551055126531443,69.49910100664138,9,9_3_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
407,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,4,[348.10533144 -44.13654942  21.87794314   7.42214732],3.90802896852449,-44.1365494157527,7.422147320969858,355.52747876521653,47.900892206860625,21.877943142276028,0.9510522410051996,348.10533144424664,9,9_4_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
408,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,5,[148.68497602 -45.58444824  29.15287869  12.38474646],2.2393160353573194,-45.58444823750156,12.38474646096621,161.06972247601985,13.005492117555534,29.152878688599934,0.9377129701635483,148.68497601505365,9,9_5_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
409,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,12,[ 73.83223322 -14.25915153  15.97601611   9.21287638],2.8025857623958923,-14.259151528884251,9.21287637582233,83.04510959110118,9.014026261010008,15.976016109959776,0.9716850612071759,73.83223321527885,9,9_12_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
410,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,13,[32.73833465  5.02912062  3.77848781  5.54450213],5.240580030729802,5.029120619272849,5.544502127331616,38.2828367746047,6.90464822547177,3.7784878089941687,0.9078895250079269,32.73833464727308,9,9_13_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
411,/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3,WT,15,[ 47.18355785 -10.01826211  15.86639855  12.81988946],1.6639246478433731,-10.018262113393149,12.819889457890753,60.00344730626798,4.680496466319789,15.866398547950267,0.952420192605873,47.18355784837723,9,9_15_/media/auerbach1/Auerbach_HD_WG/Fmr1 SD Tanks/WT/BA180507D/Block-3
75,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,1,[41.11258422  5.28633101 14.35554408 16.24218966],0.6809882599156935,5.286331008809109,16.242189662221403,57.35477387887394,3.531221779307167,14.355544075146558,0.979834192864589,41.112584216652536,12,12_1_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
76,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,2,[35.51254741 11.49525417  9.61211781 26.5630446 ],2.2400966635416353,11.495254172890085,26.5630445969465,62.07559200636592,2.3369155512204234,9.61211781155001,0.8200948954412473,35.512547409419426,12,12_2_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
77,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,3,[36.15706973  8.16851899  9.3202174  13.96232205],2.115372525679504,8.16851899347217,13.962322051358358,50.119391779630135,3.58961722808522,9.320217400349888,0.8760245224912032,36.15706972827178,12,12_3_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
78,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,4,[40.81246269 13.13918528  9.78075529 11.91223079],2.468057984827965,13.139185283159865,11.912230792643708,52.72469348006727,4.426097378219614,9.780755287492973,0.8320965611615807,40.81246268742356,12,12_4_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
79,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,5,[45.16261822 13.23861009 11.22043944 16.48555502],2.440107728673979,13.238610088527826,16.48555501648458,61.64817323379121,3.739526705175937,11.220439441351894,0.8452622351235002,45.16261821730663,12,12_5_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
80,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,6,[ 51.5399149  -60.36812888  46.25204091  11.78746865],0.6076820472600275,-60.368128877817234,11.787468651280884,63.3273835491806,5.372432828680239,46.25204090603875,0.8387754621171101,51.53991489789972,12,12_6_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
81,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,7,[39.31995021 10.72569443  7.6032061   7.76359879],3.026274481321422,10.725694433125577,7.763598793978191,47.083548999237735,6.064655097293015,7.603206100952089,0.8323088398085668,39.319950205259545,12,12_7_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
82,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,10,[24.05139352 11.79061983  7.84832069 11.23710477],1.7245849559088808,11.790619834613587,11.237104771853783,35.288498291348134,3.140355012061225,7.848320694094642,0.8246557709034045,24.05139351949435,12,12_10_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
83,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,11,[21.24974789 -3.91965642 17.89463871 19.7862841 ],0.355246453054292,-3.919656419769581,19.786284103993886,41.036031993260124,2.0739635485662995,17.89463871001335,0.8018712458324795,21.24974788926624,12,12_11_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
84,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,12,[50.73010993 11.20153545  7.60737971 15.38338057],3.804559261766371,11.201535452117511,15.383380570438339,66.11349050214857,4.297721830349589,7.607379708253048,0.7697894938958436,50.730109931710224,12,12_12_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
86,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,14,[41.31535768  9.89722206  9.16893833 20.75509503],2.7010334584076645,9.897222056068788,20.75509502856497,62.07045271350556,2.990612793055334,9.168938325587893,0.9283959353262454,41.315357684940594,12,12_14_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
87,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,15,[34.41477153 13.13265882 12.91957475 26.32458264],1.5893079744699887,13.132658817020864,26.324582644291812,60.739354177429206,2.307324488223172,12.91957474631234,0.9303114936208301,34.4147715331374,12,12_15_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
88,F:\Fmr1 SD Tanks\KO\BA190306A\Block-3,KO,16,[35.36568526 11.11826664 14.12299861 22.71436689],1.326371509691171,11.118266636660843,22.71436688587925,58.08005214260967,2.556974290078763,14.122998613308916,0.9374542397695587,35.365685256730416,12,12_16_F:\Fmr1 SD Tanks\KO\BA190306A\Block-3
90,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,2,[27.81317283 23.6198697  21.66844326 28.2363889 ],0.7784627285900568,23.619869702051293,28.236388904242396,56.04956173127188,1.9850116784179395,21.66844326026335,0.7260723920836061,27.813172827029483,12,12_2_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
92,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,4,[31.49115243 14.39566815 15.08983841 26.3397089 ],1.2266184882037123,14.395668150006474,26.339708897523955,57.83086132514015,2.1955770866767814,15.089838405273868,0.6961553381651995,31.491152427616193,12,12_4_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
93,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,5,[29.03845929 17.06947225 24.89801199 23.94715755],0.583939781506615,17.069472245915158,23.947157550420293,52.9856168370991,2.212605680884626,24.898011992155055,0.5021734361272951,29.03845928667881,12,12_5_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
94,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,6,[27.10454619 10.37573473 31.72451499  3.29995792],0.21412770099260567,10.375734732689855,3.2999579172924656,30.404504110449924,9.21360358904094,31.72451499104696,0.6911362844864257,27.104546193157457,12,12_6_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
95,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,7,[33.6449044  12.91189034  8.46083444 16.34021446],2.19075045979622,12.911890342290254,16.34021446214714,49.985118858380304,3.0590246519819635,8.460834437915544,0.7299413078960353,33.64490439623316,12,12_7_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
96,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,10,[34.64414183 10.68409442 14.32697794 21.20629905],1.2343681401461026,10.684094420537082,21.20629904887722,55.850440877077574,2.6336722286312666,14.326977943313647,0.822965395068165,34.644141828200354,12,12_10_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
97,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,11,[29.08635324  6.17422835 25.56584751 10.66656731],0.18222754860630627,6.174228345797431,10.666567307068602,39.7529205453198,3.726871016786819,25.565847513028842,0.8585009117465904,29.0863532382512,12,12_11_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
98,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,12,[41.14098254 20.50338381 25.73048252  7.72570477],0.8842528803398862,20.503383812361154,7.725704772140047,48.86668731565323,6.325207700386535,25.73048251614316,0.6972842169470767,41.14098254351318,12,12_12_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
99,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,13,[31.9168805  18.05421848 12.57687664 20.11639603],1.4284372348072336,18.0542184825267,20.11639603032177,52.033276531220274,2.5866102682006096,12.576876642293078,0.6887540400462084,31.916880500898504,12,12_13_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
101,F:\Fmr1 SD Tanks\KO\BA190306C\Block-3,KO,15,[22.90202581 22.59085857 18.23098424 31.47861392],0.7506452551098163,22.590858569824434,31.47861392037642,54.380639730272925,1.7275423837855768,18.23098423824995,0.7644086562423684,22.902025809896504,12,12_15_F:\Fmr1 SD Tanks\KO\BA190306C\Block-3
103,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,1,[32.40801839  1.85966484  2.28417677 20.987219  ],3.2580112879543317,1.8596648440059949,20.987218997686668,53.395237388195405,2.5441787877698774,2.2841767650732527,0.9130337479373616,32.40801839050874,12,12_1_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
104,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,2,[45.57048878  2.09012762  3.66820297 16.19880806],2.346312341572343,2.090127624614483,16.198808055358697,61.76929683155614,3.813200120679395,3.6682029744108746,0.9524235568066945,45.57048877619744,12,12_2_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
105,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,4,[49.18867371  3.07231742  3.23175457 18.54751652],6.740843433306053,3.0723174245396643,18.547516522654174,67.73619023204876,3.6520355784190786,3.2317545710692595,0.9499620984593664,49.18867370939458,12,12_4_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
107,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,7,[34.29579328 -1.92077638  7.82754253 12.28849432],1.7190508835085436,-1.9207763764115144,12.28849432261958,46.58428759833022,3.790886529733912,7.827542528826545,0.9305956399307198,34.295793275710636,12,12_7_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
108,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,12,[45.08898384  2.42426537  4.25232758 19.91298291],2.370010815155865,2.4242653681753805,19.912982913007763,65.00196675299514,3.2643008351367535,4.252327582845998,0.9599943138407574,45.08898383998738,12,12_12_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
109,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,13,[45.37346148  2.94736891  3.01436717 13.39354242],6.823124719801398,2.9473689144821664,13.393542419288126,58.76700389886192,4.387711783719831,3.0143671732760993,0.9481774262429192,45.3734614795738,12,12_13_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
110,F:\Fmr1 SD Tanks\KO\BA190306E\Block-3,KO,15,[294.00574727 -29.5264031   16.33266298  17.87406379],5.804869285697122,-29.526403099757484,17.874063789601433,311.87981105798906,17.448735482270735,16.332662982127054,0.9596360792511635,294.0057472683876,12,12_15_F:\Fmr1 SD Tanks\KO\BA190306E\Block-3
111,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,1,[33.1607799  12.05377916 17.58552196 11.19551636],0.9218004848321469,12.053779158634358,11.195516362497159,44.3562962612831,3.9619696693819515,17.585521957577292,0.8139506045500761,33.16077989878594,12,12_1_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
112,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,2,[43.61479761 17.24439122  9.26229851 18.88780887],1.948267133222714,17.24439122123216,18.88780886649967,62.502606479850584,3.3091507290032047,9.262298505162361,0.7909145324211574,43.614797613350916,12,12_2_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
113,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,3,[20.32371191 11.79793638 19.85912802 13.07812417],0.44839951449660015,11.797936376046168,13.078124166739602,33.401836077859656,2.554023470950635,19.859128023154838,0.6304195188910824,20.323711911120053,12,12_3_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
114,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,4,[34.7580927  18.69146842  7.79966363 19.37545117],0.8069886906270084,18.69146841901989,19.37545117126772,54.13354387099259,2.7939243010386465,7.799663630571792,0.932641102131496,34.75809269972487,12,12_4_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
115,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,5,[37.03405078 15.56194837 11.38740913 20.02900845],1.8956393191160712,15.561948371157511,20.029008448425753,57.06305922937527,2.849020677998682,11.387409126734036,0.8553490989647119,37.034050780949514,12,12_5_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
116,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,7,[40.32131447 19.33642645  7.86887127 15.27729315],0.8404595954303317,19.336426454611207,15.277293147117824,55.59860761741301,3.639297032661974,7.868871271301357,0.9431672574725619,40.321314470295185,12,12_7_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
117,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,8,[38.83448155 13.42667166 12.43745741 14.79374123],1.8849202302106958,13.426671663730431,14.79374123214839,53.62822278679254,3.6250615679455476,12.437457409190436,0.8402735978402884,38.83448155464415,12,12_8_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
118,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,10,[38.05350242 15.51667355  9.84736722 14.87593668],2.0358722336411006,15.516673547082464,14.875936676085631,52.929439095087005,3.558057569589934,9.847367223761866,0.8140022314176276,38.053502419001376,12,12_10_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
119,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,11,[ 6.12040639 21.69746801 12.93398283  7.84277806],0.2244287496289132,21.697468007185737,7.842778057609385,13.963184447298847,1.7803875546052452,12.933982832184384,0.5012142163065152,6.120406389689462,12,12_11_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
120,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,12,[35.57361447 19.44971185  9.50259641 20.80860938],1.1037634827459897,19.449711852405205,20.80860937826081,56.38222384568773,2.7095623172489085,9.502596411286701,0.9290351621819287,35.57361446742692,12,12_12_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
121,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,13,[44.86960206 19.41791948  7.21886177 15.98604292],0.6727719064514304,19.417919477555866,15.986042922444653,60.85564498426089,3.8067985479269932,7.218861768510914,0.943043841140174,44.86960206181624,12,12_13_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
122,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,14,[23.43860605 10.74496467 23.24806565 12.86460887],0.35246976111125145,10.744964674810452,12.864608870427954,36.30321492001284,2.8219447078149047,23.248065648390455,0.7402070020429519,23.438606049584887,12,12_14_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
123,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,15,[41.75121898 14.72118163  7.61029652 18.88452397],2.1732972143695406,14.721181633033043,18.884523972445592,60.63574295743515,3.210869548308909,7.610296523570462,0.8265997945441552,41.751218984989556,12,12_15_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
124,F:\Fmr1 SD Tanks\KO\BA190306G\Block-3,KO,16,[30.23736382 20.65873352  6.82354567 15.45117324],0.2316980706851268,20.658733515506,15.451173241966599,45.688537061811694,2.9569623190631273,6.823545666846541,0.9121117795501397,30.237363819845093,12,12_16_F:\Fmr1 SD Tanks\KO\BA190306G\Block-3
125,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,1,[31.75393263 21.2932692  16.36577563 18.76628719],1.1422659355275755,21.29326919693787,18.766287185568043,50.52021981929317,2.692073254540464,16.365775629005448,0.5377488516079004,31.753932633725125,12,12_1_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
126,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,2,[33.61982132 22.9185666  18.75169802 22.14459268],1.0746259363259014,22.918566596648247,22.14459268270172,55.76441399773541,2.518195516023009,18.751698015741216,0.5123624531605129,33.61982131503369,12,12_2_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
127,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,3,[28.49855557 11.47009337 12.30890851 29.52330787],1.3375978422658363,11.470093366871868,29.523307865426688,58.02186343599726,1.9652900582981032,12.308908510993739,0.8190887774488413,28.498555570570574,12,12_3_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
130,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,6,[31.29222027  8.47765552  5.47716548 20.42441925],3.2547199939614297,8.47765552195541,20.424419248278216,51.71663952238583,2.532098410912984,5.477165479925679,0.8444127113144047,31.292220274107617,12,12_6_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
131,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,7,[34.05364961 15.98841677 11.60068873 20.41194933],1.7013616002259366,15.9884167703015,20.411949329360734,54.46559894377917,2.668319329278138,11.600688725206565,0.7233454491081586,34.05364961441843,12,12_7_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
132,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,8,[21.38254554  9.79363298 15.67349508 16.80120482],0.6090673686287573,9.793632975254091,16.801204822393206,38.183750366253946,2.2726792971038225,15.673495084137272,0.9088068945272927,21.38254554386074,12,12_8_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
133,F:\Fmr1 SD Tanks\KO\BA190306I\Block-3,KO,10,[27.49222052 16.64950083 14.58968486 23.1300646 ],1.142780212148864,16.649500827504877,23.13006459729477,50.622285119706184,2.188592466171791,14.589684864884429,0.6808110205003766,27.492220522411415,12,12_10_F:\Fmr1 SD Tanks\KO\BA190306I\Block-3
